# corpus	nonce	expected_count	mask_sha256	raw_sha256
h64	444000000016	15	169e3f8c8f79e71c975d5cec0da022007f1e628635afa9185bc511b9450f4a8a	65e6dd3d6236cd6ee38a4058124075c78c2498d16d33dae9d6e8dde67ce12fb1
h64	444000000017	14	e96f2e5c012fa4f56378000847d8cfcb540aa8de1c343ecb0dec1f5a70d842d6	58756b61a939b2aa038668ca34427d675b955c65f08c34ca5d789785c97948d7
h64	444000000018	18	782dda3957a9f0a10e16c504b940c453e4f13c79ed884cd61c6d4ebf40111e5c	002b70822a55a6d30fb058a2425befd1a5329090dd03769d6b7a45f08e2bd027
h64	444000000019	12	37eacaa92c31140e2ffd7b0266c5afd273ec2ca365565c25fbde23d5aede341c	e25af5372273d2a9f2e3e885b44e25d25841cb401b5492b456c668a58f07184d
h64	444000000020	15	f25a5583995497b569d93fd721431031e111d87d196862c98f6558d80de29d20	dbd411c62e751d3fa6037425e5811728810f1800d29a5bbeb1745c6512829e52
h64	444000000021	14	9e1059c2817ca42bf3c753299073b4e319329bd7c26fa173ed6f63f78ca0a070	cbbde6524a1621672e833efc09920e1c7fac1f9373b3399178e4ae27e16e5afc
h64	444000000022	6	4e030e11e8a89125f8d8f0e3920fdb2968d125276343e39d3999340631c209ac	287b8a6b178047d3e9cae1d135da07da8b7ce7b9cdc0f7a45945b29b104c20ce
h64	444000000023	14	b37dbec386b5f4128e7a329a3925e5a078fcdd29d9cc8e416ae935f90537d533	c6effbfa7d23e6c3b396d659535fe58bb9160b25c3fd0589d6ce76d962ac837d
h64	444000000024	14	5daccfe369357aae1c333410a932dc7d3ad4df980d5e98f24dbf8c69875c963e	943052a483335d647ac404072a8168af8aa7dcc08ea2bbed19a68716908a0596
h64	444000000025	12	7065b26577cb61e218b68122aee47ab36a94c51de7fa544a947b30804ec4af13	97e88fcc9701fcfd8f2ba574ffebc0022d8d784cec6940dc3731452ffa713c2a
h64	444000000026	20	2dfb5641320be74d5e22492fabbfc1b83e4e57cb4884fb1f6de8284324c036c3	bb959e850aefba8ed9074ebd405c954de86ffecd50b4e99d467042696663292b
h64	444000000027	9	1fee4b025797e584d0aa67d5f9b4e61228716064244169107551aad11da371b0	f605f009ebff61c90ebc662279f604ab99a34fec7e2887749ab65cd10d014f6a
h64	444000000028	7	efb873dfeba876d0c035ad56f3260a3ca4fff0b22247d0c7301b29f77dcc0534	43e9cabb261772f6ca8a095d2d80327d827ce5eb617a3a3a74a7e41e9049a527
h64	444000000029	10	c79e95c2d14b1075265ff81d10a806d2ae99871f6fe5bf51a17676c98b9ea621	4fde4fc27837dbf5bddb60cbede83b699c8c5d0b08297dbb27631bcf95ceed6a
h64	444000000030	13	db6accd4c09cff40b22e7d6584f6e5417346b1d8866501355dbaa72faf955cf2	2b15de39dfe8e2a5ceb6f7b392286fa88987d5c57782f4e51f9a4a6349d290d1
h64	444000000031	7	0e351243aadc18d2b2b634342589c9f8afeaa84859ea3b00108078ca6a270be0	58f02d8ed35a4de8fc226a25ab557da95d9288c3055ea9fac11511baebc03e4d
h64	444000000032	11	d71c7621916de3cb807c86fb0cfa09f931457691950dbd4771d8d200895b3540	8f3e2b5b81c427b43e870907216f6edd0160339d3103130abf7b92032161de14
h64	444000000033	14	586dab213088ed8dfc464a3119af8676b0e3edcef6a9b90f064fe18932676f8b	0097ee39089cd423f67678f7c1a1f87cf655453dfdb0a367bcc3a4ff9960c824
